cell,group in,group out,nuclide,mean,std. dev.
3,3,61,total,0.0,0.0
3,3,62,total,0.0,0.0
3,3,63,total,0.0,0.0
3,3,64,total,0.0,0.0
3,3,65,total,0.0,0.0
3,3,66,total,0.0,0.0
3,3,67,total,0.0,0.0
3,3,68,total,0.0,0.0
3,3,69,total,0.0,0.0
3,3,70,total,0.0,0.0
3,3,71,total,0.0,0.0
3,3,72,total,0.0,0.0
3,3,73,total,0.0,0.0
3,3,74,total,0.0,0.0
3,3,75,total,0.0,0.0
3,3,76,total,0.0,0.0
3,3,77,total,0.0,0.0
3,3,78,total,0.0,0.0
3,3,79,total,0.0,0.0
3,3,80,total,0.0,0.0
3,3,81,total,0.0,0.0
3,3,82,total,0.0,0.0
3,3,83,total,0.0,0.0
3,3,84,total,0.0,0.0
3,3,85,total,0.0,0.0
3,3,86,total,0.0,0.0
3,3,87,total,0.0,0.0
3,3,88,total,0.0,0.0
3,3,89,total,0.0,0.0
3,3,90,total,0.0,0.0
3,3,91,total,0.0,0.0
3,3,92,total,0.0,0.0
3,3,93,total,0.0,0.0
3,3,94,total,0.0,0.0
3,3,95,total,0.0,0.0
3,3,96,total,0.0,0.0
3,3,97,total,0.0,0.0
3,3,98,total,0.0,0.0
3,3,99,total,0.0,0.0
3,3,100,total,0.0,0.0
3,3,101,total,0.0,0.0
3,3,102,total,0.0,0.0
3,3,103,total,0.0,0.0
3,3,104,total,0.0,0.0
3,3,105,total,0.0,0.0
3,3,106,total,0.0,0.0
3,3,107,total,0.0,0.0
3,3,108,total,0.0,0.0
3,3,109,total,0.0,0.0
3,3,110,total,0.0,0.0
3,3,111,total,0.0,0.0
3,3,112,total,0.0,0.0
3,3,113,total,0.0,0.0
3,3,114,total,0.0,0.0
3,3,115,total,0.0,0.0
3,3,116,total,0.0,0.0
3,3,117,total,0.0,0.0
3,3,118,total,0.0,0.0
3,3,119,total,0.0,0.0
3,3,120,total,0.0,0.0
3,3,122,total,0.0,0.0
3,3,122,total,0.0,0.0
3,3,123,total,0.0,0.0
3,3,125,total,0.0,0.0
3,3,125,total,0.0,0.0
3,3,126,total,0.0,0.0
3,3,127,total,0.0,0.0
3,3,128,total,0.0,0.0
3,3,129,total,0.0,0.0
3,3,131,total,0.0,0.0
3,3,131,total,0.0,0.0
3,3,133,total,0.0,0.0
3,3,133,total,0.0,0.0
3,3,134,total,0.0,0.0
3,3,135,total,0.0,0.0
3,3,136,total,0.0,0.0
3,3,137,total,0.0,0.0
3,3,138,total,0.0,0.0
3,3,139,total,0.0,0.0
3,3,141,total,0.0,0.0
3,3,141,total,0.0,0.0
3,3,142,total,0.0,0.0
3,3,144,total,0.0,0.0
3,3,144,total,0.0,0.0
3,3,145,total,0.0,0.0
3,3,146,total,0.0,0.0
3,3,147,total,0.0,0.0
3,3,148,total,0.0,0.0
3,3,150,total,0.0,0.0
3,3,150,total,0.0,0.0
3,3,151,total,0.0,0.0
3,3,153,total,0.0,0.0
3,3,153,total,0.0,0.0
3,3,154,total,0.0,0.0
3,3,156,total,0.0,0.0
3,3,156,total,0.0,0.0
3,3,158,total,0.0,0.0
3,3,159,total,0.0,0.0
3,3,160,total,0.0,0.0
3,3,161,total,0.0,0.0
3,3,162,total,0.0,0.0
3,3,163,total,0.0,0.0
3,3,164,total,0.0,0.0
3,3,165,total,0.0,0.0
3,3,166,total,0.0,0.0
3,3,167,total,0.0,0.0
3,3,168,total,0.0,0.0
3,3,169,total,0.0,0.0
3,3,170,total,0.0,0.0
3,3,171,total,0.0,0.0
3,3,172,total,0.0,0.0
3,3,172,total,0.0,0.0
3,4,1,total,0.0,0.0
3,4,2,total,0.0,0.0
3,4,3,total,0.0,0.0
3,4,4,total,0.2579993576105952,0.002904792416974719
3,4,5,total,0.03426791741280117,0.0007726535450536272
3,4,6,total,0.0,0.0
3,4,7,total,0.0,0.0
3,4,8,total,0.0,0.0
3,4,9,total,0.0,0.0
3,4,10,total,0.0,0.0
3,4,11,total,0.0,0.0
3,4,12,total,0.0,0.0
3,4,13,total,0.0,0.0
3,4,14,total,0.0,0.0
3,4,15,total,0.0,0.0
3,4,16,total,0.0,0.0
3,4,17,total,0.0,0.0
3,4,18,total,0.0,0.0
3,4,19,total,0.0,0.0
3,4,20,total,0.0,0.0
3,4,21,total,0.0,0.0
3,4,22,total,0.0,0.0
3,4,23,total,0.0,0.0
3,4,24,total,0.0,0.0
3,4,25,total,0.0,0.0
3,4,26,total,0.0,0.0
3,4,27,total,0.0,0.0
3,4,28,total,0.0,0.0
3,4,29,total,0.0,0.0
3,4,30,total,0.0,0.0
3,4,31,total,0.0,0.0
3,4,32,total,0.0,0.0
3,4,33,total,0.0,0.0
3,4,34,total,0.0,0.0
3,4,35,total,0.0,0.0
3,4,36,total,0.0,0.0
3,4,37,total,0.0,0.0
3,4,38,total,0.0,0.0
3,4,39,total,0.0,0.0
3,4,40,total,0.0,0.0
3,4,41,total,0.0,0.0
3,4,42,total,0.0,0.0
3,4,43,total,0.0,0.0
3,4,44,total,0.0,0.0
3,4,45,total,0.0,0.0
3,4,46,total,0.0,0.0
3,4,47,total,0.0,0.0
3,4,48,total,0.0,0.0
3,4,49,total,0.0,0.0
3,4,50,total,0.0,0.0
3,4,51,total,0.0,0.0
3,4,52,total,0.0,0.0
3,4,53,total,0.0,0.0
3,4,54,total,0.0,0.0
