cell,group in,group out,nuclide,mean,std. dev.
4,2,44,total,0.00028168614654805647,2.5939187048905946e-05
4,2,45,total,0.00013067914015116026,1.868815088595481e-05
4,2,46,total,0.0001161592356899202,1.906032199110346e-05
4,2,47,total,0.00011035127390542421,1.762193527931481e-05
4,2,48,total,2.3231847137984037e-05,7.440209178764217e-06
4,2,49,total,5.5175636952712084e-05,1.1754935990455064e-05
4,2,50,total,2.9039808922480047e-06,2.9039834381108443e-06
4,2,51,total,3.1943789814728046e-05,1.1754785044072886e-05
4,2,52,total,2.9039808922480047e-06,2.9039834381108443e-06
4,2,53,total,2.3231847137984037e-05,7.440209178764217e-06
4,2,54,total,0.0,0.0
4,2,55,total,2.9039808922480047e-06,2.9039834381108443e-06
4,2,56,total,0.0,0.0
4,2,57,total,0.0,0.0
4,2,58,total,0.0,0.0
4,2,59,total,0.0,0.0
4,2,60,total,0.0,0.0
4,2,61,total,2.9039808922480047e-06,2.9039834381108443e-06
4,2,62,total,0.0,0.0
4,2,63,total,0.0,0.0
4,2,64,total,0.0,0.0
4,2,65,total,0.0,0.0
4,2,66,total,2.9039808922480047e-06,2.9039834381108443e-06
4,2,67,total,0.0,0.0
4,2,68,total,0.0,0.0
4,2,69,total,0.0,0.0
4,2,70,total,0.0,0.0
4,2,71,total,0.0,0.0
4,2,72,total,0.0,0.0
4,2,73,total,0.0,0.0
4,2,74,total,0.0,0.0
4,2,75,total,0.0,0.0
4,2,76,total,0.0,0.0
4,2,77,total,0.0,0.0
4,2,78,total,0.0,0.0
4,2,79,total,0.0,0.0
4,2,80,total,0.0,0.0
4,2,81,total,0.0,0.0
4,2,82,total,0.0,0.0
4,2,83,total,0.0,0.0
4,2,84,total,0.0,0.0
4,2,85,total,0.0,0.0
4,2,86,total,0.0,0.0
4,2,87,total,0.0,0.0
4,2,88,total,0.0,0.0
4,2,89,total,0.0,0.0
4,2,90,total,0.0,0.0
4,2,91,total,0.0,0.0
4,2,92,total,0.0,0.0
4,2,93,total,0.0,0.0
4,2,94,total,0.0,0.0
4,2,95,total,0.0,0.0
4,2,96,total,0.0,0.0
4,2,97,total,0.0,0.0
4,2,98,total,0.0,0.0
4,2,99,total,0.0,0.0
4,2,100,total,0.0,0.0
4,2,101,total,0.0,0.0
4,2,102,total,0.0,0.0
4,2,103,total,0.0,0.0
4,2,104,total,0.0,0.0
4,2,105,total,0.0,0.0
4,2,106,total,0.0,0.0
4,2,107,total,0.0,0.0
4,2,108,total,0.0,0.0
4,2,109,total,0.0,0.0
4,2,110,total,0.0,0.0
4,2,111,total,0.0,0.0
4,2,112,total,0.0,0.0
4,2,113,total,0.0,0.0
4,2,114,total,0.0,0.0
4,2,115,total,0.0,0.0
4,2,116,total,0.0,0.0
4,2,117,total,0.0,0.0
4,2,118,total,0.0,0.0
4,2,119,total,0.0,0.0
4,2,120,total,0.0,0.0
4,2,122,total,0.0,0.0
4,2,122,total,0.0,0.0
4,2,123,total,0.0,0.0
4,2,125,total,0.0,0.0
4,2,125,total,0.0,0.0
4,2,126,total,0.0,0.0
4,2,127,total,0.0,0.0
4,2,128,total,0.0,0.0
4,2,129,total,0.0,0.0
4,2,131,total,0.0,0.0
4,2,131,total,0.0,0.0
4,2,133,total,0.0,0.0
4,2,133,total,0.0,0.0
4,2,134,total,0.0,0.0
4,2,135,total,0.0,0.0
4,2,136,total,0.0,0.0
4,2,137,total,0.0,0.0
4,2,138,total,0.0,0.0
4,2,139,total,0.0,0.0
4,2,141,total,0.0,0.0
4,2,141,total,0.0,0.0
4,2,142,total,0.0,0.0
4,2,144,total,0.0,0.0
4,2,144,total,0.0,0.0
4,2,145,total,0.0,0.0
4,2,146,total,0.0,0.0
4,2,147,total,0.0,0.0
4,2,148,total,0.0,0.0
4,2,150,total,0.0,0.0
4,2,150,total,0.0,0.0
4,2,151,total,0.0,0.0
4,2,153,total,0.0,0.0
4,2,153,total,0.0,0.0
4,2,154,total,0.0,0.0
4,2,156,total,0.0,0.0
4,2,156,total,0.0,0.0
4,2,158,total,0.0,0.0
4,2,159,total,0.0,0.0
4,2,160,total,0.0,0.0
4,2,161,total,0.0,0.0
4,2,162,total,0.0,0.0
4,2,163,total,0.0,0.0
4,2,164,total,0.0,0.0
4,2,165,total,0.0,0.0
4,2,166,total,0.0,0.0
4,2,167,total,0.0,0.0
4,2,168,total,0.0,0.0
4,2,169,total,0.0,0.0
4,2,170,total,0.0,0.0
4,2,171,total,0.0,0.0
4,2,172,total,0.0,0.0
4,2,172,total,0.0,0.0
4,3,1,total,0.0,0.0
4,3,2,total,5.7893714734554286e-05,1.6057142839879572e-05
4,3,3,total,-0.2711270367581982,0.0016837651880176345
4,3,4,total,0.29907314094723403,0.0013475298251357341
4,3,5,total,0.17282431722559144,0.0010489244825107147
4,3,6,total,0.1739764021488091,0.0010000127107882212
4,3,7,total,0.14177591801345,0.0009730289922791114
4,3,8,total,0.06137891636157443,0.0005182505801806965
4,3,9,total,0.053829575960188586,0.0006862764014182809
4,3,10,total,0.09426254633080129,0.0008090465276344286
4,3,11,total,0.07764126083051076,0.0007464351449605232
4,3,12,total,0.06310993843213765,0.0005926131463444574
4,3,13,total,0.051340146226602754,0.0005498878097722258
4,3,14,total,0.02230065891575031,0.0003914756816190253
4,3,15,total,0.01999648906931505,0.00035780669257254316
4,3,16,total,0.03526306164481702,0.0005069918338780552
4,3,17,total,0.02807845164625883,0.0004318382301041169
4,3,18,total,0.011972420207105823,0.00024923451096713805
4,3,19,total,0.011167697572295519,0.000265977719909268
4,3,20,total,0.010079295735285902,0.00025616588873844366
4,3,21,total,0.008846159611439896,0.00023505782874609372
4,3,22,total,0.008527744180399848,0.0002053071219494356
4,3,23,total,0.020708581760550064,0.0003170140923308506
4,3,24,total,0.005279906783791351,0.000166129383596994
4,3,25,total,0.005094646896640777,0.00016230178550574555
4,3,26,total,0.004504131006348322,0.0001778067571428116
4,3,27,total,0.0039425619734231475,0.00015538290178879975
4,3,28,total,0.010189293793281552,0.0002683701499692362
4,3,29,total,0.0026631108777894963,0.00011041112066307287
4,3,30,total,0.002576270305687665,0.00010035340377315679
4,3,31,total,0.006090418790075109,0.00019354178179984934
4,3,32,total,0.005957263246185635,0.00019526005319721155
4,3,33,total,0.0011810317805849076,8.690934645478155e-05
4,3,34,total,0.0025878490486345757,0.00010721083043275568
4,3,35,total,0.0013026085815274718,9.976346138782072e-05
4,3,36,total,0.001105769951429987,8.989576701821422e-05
4,3,37,total,0.0013489235533151148,8.165018032184493e-05
4,3,38,total,0.0003068366880931379,4.010277483968617e-05
4,3,39,total,0.0007063033197615624,6.421228204584226e-05
4,3,40,total,0.00017947051567711832,3.0453178390809138e-05
4,3,41,total,0.00021999611599130635,3.795405369321543e-05
4,3,42,total,0.0004689390893498899,4.7267958482959424e-05
4,3,43,total,0.00011578742946910857,2.3453361298563245e-05
4,3,44,total,0.0002605217163054944,4.1616193553462526e-05
4,3,45,total,8.684057210183143e-05,2.299037385034217e-05
4,3,46,total,9.841931504874227e-05,2.1761475302116683e-05
4,3,47,total,6.36830862080097e-05,1.6557858293015064e-05
4,3,48,total,2.8946857367277143e-05,1.2263707776349208e-05
4,3,49,total,6.947245768146514e-05,1.8908393718109628e-05
4,3,50,total,0.0,0.0
4,3,51,total,5.789371473455429e-06,5.789380220550729e-06
4,3,52,total,5.789371473455429e-06,5.789380220550729e-06
4,3,53,total,1.1578742946910857e-05,8.081784323373446e-06
4,3,54,total,0.0,0.0
4,3,55,total,5.789371473455429e-06,5.789380220550729e-06
4,3,56,total,0.0,0.0
4,3,57,total,0.0,0.0
4,3,58,total,5.789371473455429e-06,5.789380220550729e-06
4,3,59,total,0.0,0.0
4,3,60,total,0.0,0.0
4,3,61,total,0.0,0.0
4,3,62,total,0.0,0.0
4,3,63,total,0.0,0.0
4,3,64,total,0.0,0.0
4,3,65,total,0.0,0.0
4,3,66,total,0.0,0.0
4,3,67,total,0.0,0.0
4,3,68,total,0.0,0.0
4,3,69,total,0.0,0.0
4,3,70,total,0.0,0.0
4,3,71,total,0.0,0.0
4,3,72,total,0.0,0.0
4,3,73,total,0.0,0.0
4,3,74,total,0.0,0.0
4,3,75,total,0.0,0.0
4,3,76,total,0.0,0.0
